INFO 2024-08-14 08:42:14,509 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-14 08:42:14,511 autoreload Waiting for apps ready_event.
DEBUG 2024-08-14 08:42:14,517 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-14 08:42:14,551 autoreload Watching dir C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\templates with glob **/*.
DEBUG 2024-08-14 08:42:14,551 autoreload Watching dir C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\game\templates with glob **/*.
DEBUG 2024-08-14 08:42:14,552 autoreload Watching dir C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\locale with glob **/*.mo.
DEBUG 2024-08-14 08:42:14,553 autoreload Watching dir C:\Users\AndrewVanLanen\Desktop\Holdem\venv\lib\site-packages\django_htmx\locale with glob **/*.mo.
DEBUG 2024-08-14 08:42:14,553 autoreload Watching dir C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\game\locale with glob **/*.mo.
DEBUG 2024-08-14 08:42:14,588 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-14 08:42:14,594 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-14 08:42:14,754 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1723565333.3216074
DEBUG 2024-08-14 08:42:14,754 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1723565335.5710578
DEBUG 2024-08-14 08:42:14,755 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1723565339.095721
DEBUG 2024-08-14 08:42:14,755 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1723565335.9089887
DEBUG 2024-08-14 08:42:14,755 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\mime\multipart.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,756 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\functional.py first seen with mtime 1723565339.2681704
DEBUG 2024-08-14 08:42:14,756 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1723565336.5699062
DEBUG 2024-08-14 08:42:14,757 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\DLLs\select.pyd first seen with mtime 1680670072.0
DEBUG 2024-08-14 08:42:14,757 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\base_tasks.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,757 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\collections\__init__.py first seen with mtime 1680670042.0
